,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
117,2019,3,Kubau,Female,0,0,3,1,2,3,0,0,9,2019 Q3
118,2019,4,Kubau,Male,0,0,1,4,4,3,0,0,12,2019 Q4
119,2019,4,Kubau,Female,0,0,0,2,4,2,0,0,8,2019 Q4
120,2019,1,Kudan,Male,0,1,2,0,2,2,1,0,8,2019 Q1
121,2019,1,Kudan,Female,0,1,1,1,1,1,0,0,5,2019 Q1
122,2019,2,Kudan,Male,0,2,1,2,1,2,1,1,10,2019 Q2
123,2019,2,Kudan,Female,0,0,0,1,0,0,0,0,1,2019 Q2
124,2019,3,Kudan,Male,0,0,2,1,2,0,1,0,6,2019 Q3
125,2019,3,Kudan,Female,0,0,1,2,0,1,2,0,6,2019 Q3
126,2019,4,Kudan,Male,0,0,4,0,0,1,0,1,6,2019 Q4
127,2019,4,Kudan,Female,0,3,4,1,5,1,2,1,17,2019 Q4
128,2019,1,Lere,Male,0,1,5,6,7,4,0,0,23,2019 Q1
129,2019,1,Lere,Female,0,0,3,1,1,1,0,1,7,2019 Q1
130,2019,2,Lere,Male,0,1,1,8,2,2,0,3,17,2019 Q2
131,2019,2,Lere,Female,0,0,0,1,3,2,1,1,8,2019 Q2
132,2019,3,Lere,Male,0,0,0,2,6,2,3,2,15,2019 Q3
133,2019,3,Lere,Female,0,1,1,6,0,1,0,0,9,2019 Q3
134,2019,4,Lere,Male,0,0,2,4,7,3,1,1,18,2019 Q4
135,2019,4,Lere,Female,0,1,2,3,2,1,0,0,9,2019 Q4
136,2019,1,Markafi,Male,0,1,2,9,1,0,1,1,15,2019 Q1
137,2019,1,Markafi,Female,1,0,0,5,1,2,0,0,9,2019 Q1
138,2019,2,Markafi,Male,0,0,6,4,4,5,1,2,22,2019 Q2
139,2019,2,Markafi,Female,0,0,2,1,1,2,1,1,8,2019 Q2
140,2019,3,Markafi,Male,1,1,2,7,2,0,2,6,21,2019 Q3
141,2019,3,Markafi,Female,0,0,3,2,2,2,3,1,13,2019 Q3
142,2019,4,Markafi,Male,0,0,3,5,6,2,6,6,28,2019 Q4
143,2019,4,Markafi,Female,0,2,2,5,3,3,0,0,15,2019 Q4
144,2019,1,Sabon-Gari,Male,0,0,6,8,2,1,2,0,19,2019 Q1
145,2019,1,Sabon-Gari,Female,1,0,7,2,3,2,0,0,15,2019 Q1
146,2019,2,Sabon-Gari,Male,1,2,11,12,4,4,3,1,38,2019 Q2
147,2019,2,Sabon-Gari,Female,0,0,2,3,0,1,2,1,9,2019 Q2
