,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
143,2020,3,Jaba,231,229,2,231,10,0,0,231,0,0,2020 Q3
144,2020,3,Jema'a,648,621,27,648,48,0,8,640,0,1,2020 Q3
145,2020,3,Kachia,2020,2012,8,2020,141,0,0,2020,0,0,2020 Q3
146,2020,3,Kaduna North,3051,2923,128,3051,256,4,60,1062,1929,0,2020 Q3
147,2020,3,Kaduna South,1894,1816,78,1894,219,7,110,555,1229,0,2020 Q3
148,2020,3,Kagarko,459,459,0,459,13,1,0,459,0,0,2020 Q3
149,2020,3,Kajuru,2051,2051,0,2051,23,0,0,2051,0,0,2020 Q3
150,2020,3,Kaura,240,230,10,240,18,0,11,154,75,0,2020 Q3
151,2020,3,Kauru,464,464,0,464,32,0,0,464,0,0,2020 Q3
152,2020,3,Kubau,236,227,9,236,29,0,3,233,0,3,2020 Q3
153,2020,3,Kudan,1108,1105,3,1108,22,0,0,349,759,0,2020 Q3
154,2020,3,Lere,378,363,15,378,30,0,10,116,252,15,2020 Q3
155,2020,3,Markafi,668,653,15,668,35,0,1,667,0,0,2020 Q3
156,2020,3,Sabon-Gari,1556,1555,1,1556,80,0,0,1556,0,0,2020 Q3
157,2020,3,Sanga,438,405,33,438,32,0,19,409,10,0,2020 Q3
158,2020,3,Soba,645,644,1,645,37,0,0,5,640,0,2020 Q3
159,2020,3,Zango-Kataf,445,445,0,445,41,0,10,435,0,0,2020 Q3
160,2020,3,Zaria,2546,2546,0,2546,198,3,6,2540,0,0,2020 Q3
161,2020,4,Birnin-Gwari,1158,1158,0,1158,46,0,2,376,780,0,2020 Q4
162,2020,4,Chikun,1137,1127,10,1090,71,0,35,47,1055,0,2020 Q4
163,2020,4,Giwa,438,438,0,438,58,0,16,26,396,0,2020 Q4
164,2020,4,Igabi,1077,1071,6,1077,99,0,5,1072,0,0,2020 Q4
165,2020,4,Ikara,593,589,4,593,31,0,9,96,488,0,2020 Q4
166,2020,4,Jaba,109,108,1,109,13,0,1,108,0,0,2020 Q4
167,2020,4,Jema'a,1159,1137,22,1158,61,2,18,483,658,0,2020 Q4
168,2020,4,Kachia,2042,2035,7,1693,162,1,0,2028,14,0,2020 Q4
169,2020,4,Kaduna North,4071,4018,53,4071,336,2,57,1070,2944,0,2020 Q4
170,2020,4,Kaduna South,2579,2578,1,2579,273,8,130,336,2113,0,2020 Q4
171,2020,4,Kagarko,937,937,0,937,26,2,1,936,0,0,2020 Q4
172,2020,4,Kajuru,1307,1307,0,1307,29,0,0,1307,0,0,2020 Q4
173,2020,4,Kaura,377,369,8,377,20,0,11,176,190,0,2020 Q4
174,2020,4,Kauru,868,810,58,868,78,0,0,868,0,0,2020 Q4
175,2020,4,Kubau,448,448,0,448,33,0,0,448,0,0,2020 Q4
176,2020,4,Kudan,1092,1084,8,1092,29,0,0,51,1041,0,2020 Q4
177,2020,4,Lere,605,562,43,605,48,0,2,207,396,0,2020 Q4
178,2020,4,Markafi,1302,1193,109,1297,60,0,6,1296,0,0,2020 Q4
179,2020,4,Sabon-Gari,2145,2145,0,2145,87,0,0,2145,0,0,2020 Q4
180,2020,4,Sanga,380,356,24,380,21,0,22,260,98,0,2020 Q4
181,2020,4,Soba,894,891,3,894,51,0,0,51,843,0,2020 Q4
182,2020,4,Zango-Kataf,562,562,0,562,50,0,22,540,0,0,2020 Q4
183,2020,4,Zaria,3677,3677,0,3677,230,3,16,212,3449,8,2020 Q4
184,2021,1,Birnin-Gwari,742,742,0,742,29,0,0,0,742,0,2021 Q1
185,2021,1,Kagarko,147,147,0,147,20,0,1,146,0,0,2021 Q1
186,2021,1,Kaduna North,4825,4717,108,4825,360,1,77,1317,3431,0,2021 Q1
187,2021,1,Kajuru,1708,1708,0,1708,34,0,0,1708,0,0,2021 Q1
188,2021,1,Kachia,2150,2140,10,2150,176,0,10,2140,0,0,2021 Q1
189,2021,1,Kaura,352,348,4,352,40,0,14,186,152,0,2021 Q1
190,2021,1,Kauru,1609,1260,349,1609,113,0,0,1609,0,0,2021 Q1
191,2021,1,Jema'a,1407,1361,46,1407,58,1,0,0,1407,0,2021 Q1
192,2021,1,Kubau,366,360,6,366,39,0,3,363,0,0,2021 Q1
193,2021,1,Jaba,148,143,5,148,23,0,5,143,0,0,2021 Q1
194,2021,1,Kudan,579,549,30,579,21,0,1,169,409,0,2021 Q1
195,2021,1,Ikara,206,203,3,206,19,1,9,136,61,0,2021 Q1
196,2021,1,Markafi,873,865,8,873,58,0,2,871,0,0,2021 Q1
